Lines of code metrics,Sat, 4 Dec 2021 09:02:07 SGT
Method,CLOC,JLOC,LOC,NCLOC,RLOC
"org.argouml.cognitive.Critic.getSupportedGoals()",0,0,3,3,0.34%
"org.argouml.cognitive.Critic.getTriggerMask()",2,3,6,3,0.68%
"org.argouml.cognitive.Critic.getWizardClass(ToDoItem)",6,8,11,3,1.25%
"org.argouml.cognitive.Critic.initWizard(Wizard)",8,9,11,2,1.25%
"org.argouml.cognitive.Critic.isActive()",5,6,7,1,0.79%
"org.argouml.cognitive.Critic.isEnabled()",8,9,16,7,1.81%
"org.argouml.cognitive.Critic.isRelevantToDecisions(Designer)",10,11,20,8,2.27%
"org.argouml.cognitive.Critic.isRelevantToGoals(Designer)",12,14,17,3,1.93%
"org.argouml.cognitive.Critic.isSnoozed()",3,4,7,3,0.79%
"org.argouml.cognitive.Critic.makeWizard(ToDoItem)",9,11,28,16,3.17%
"org.argouml.cognitive.Critic.matchReason(long)",2,4,7,3,0.79%
"org.argouml.cognitive.Critic.postItem(ToDoItem,Object,Designer)",2,5,11,6,1.25%
"org.argouml.cognitive.Critic.predicate(Object,Designer)",12,15,18,3,2.04%
"org.argouml.cognitive.Critic.reasonCodeFor(String)",2,4,7,3,0.79%
"org.argouml.cognitive.Critic.setDecisionCategory(String)",6,7,10,3,1.13%
"org.argouml.cognitive.Critic.setDescription(String)",2,3,6,3,0.68%
"org.argouml.cognitive.Critic.setEnabled(boolean)",2,3,7,4,0.79%
"org.argouml.cognitive.Critic.setHeadline(String)",4,5,8,3,0.91%
"org.argouml.cognitive.Critic.setKnowledgeTypes(ListSet<String>)",2,3,6,3,0.68%
"org.argouml.cognitive.Critic.setKnowledgeTypes(String)",4,5,9,4,1.02%
"org.argouml.cognitive.Critic.setKnowledgeTypes(String,String)",4,6,11,5,1.25%
"org.argouml.cognitive.Critic.setKnowledgeTypes(String,String,String)",4,7,13,6,1.47%
"org.argouml.cognitive.Critic.setMoreInfoURL(String)",2,3,6,3,0.68%
"org.argouml.cognitive.Critic.setPriority(int)",2,3,6,3,0.68%
"org.argouml.cognitive.Critic.snooze()",3,3,4,1,0.45%
"org.argouml.cognitive.Critic.snoozeOrder()",4,5,8,3,0.91%
"org.argouml.cognitive.Critic.stillValid(ToDoItem,Designer)",28,20,42,14,4.76%
"org.argouml.cognitive.Critic.supports(Decision)",3,0,6,3,0.68%
"org.argouml.cognitive.Critic.supports(Goal)",3,0,6,3,0.68%
"org.argouml.cognitive.Critic.toDoItem(Object,Designer)",11,16,19,3,2.15%
"org.argouml.cognitive.Critic.toString()",6,0,10,4,1.13%
"org.argouml.cognitive.Critic.unsnooze()",3,3,4,1,0.45%
"org.argouml.cognitive.CurDecisionCM.isRelevant(Critic,Designer)",3,0,6,3,75.00%
"org.argouml.cognitive.Decision.Decision(String,int)",4,8,12,4,12.24%
"org.argouml.cognitive.Decision.equals(Object)",6,6,13,7,13.27%
"org.argouml.cognitive.Decision.getName()",2,3,6,3,6.12%
"org.argouml.cognitive.Decision.getPriority()",2,3,6,3,6.12%
"org.argouml.cognitive.Decision.hashCode()",3,0,10,7,10.20%
"org.argouml.cognitive.Decision.setName(String)",2,4,7,3,7.14%
"org.argouml.cognitive.Decision.setPriority(int)",2,4,7,3,7.14%
"org.argouml.cognitive.Decision.toString()",3,0,7,4,7.14%
"org.argouml.cognitive.DecisionModel.DecisionModel()",4,4,7,3,7.00%
"org.argouml.cognitive.DecisionModel.defineDecision(String,int)",5,7,13,6,13.00%
"org.argouml.cognitive.DecisionModel.findDecision(String)",4,6,14,8,14.00%
"org.argouml.cognitive.DecisionModel.getDecisionList()",2,3,6,3,6.00%
"org.argouml.cognitive.DecisionModel.setDecisionPriority(String,int)",6,7,21,13,21.00%
"org.argouml.cognitive.DecisionModel.startConsidering(Decision)",5,6,10,4,10.00%
"org.argouml.cognitive.DecisionModel.stopConsidering(Decision)",5,6,9,3,9.00%
"org.argouml.cognitive.DesignGoalsCM.isRelevant(Critic,Designer)",3,0,6,3,75.00%
"org.argouml.cognitive.Designer.Designer()",3,3,24,21,3.07%
"org.argouml.cognitive.Designer.EmptyChildGenerator.gen(Object)",4,6,9,3,45.00%
"org.argouml.cognitive.Designer.addListener(PropertyChangeListener)",4,6,13,7,1.66%
"org.argouml.cognitive.Designer.canFixIt(ToDoItem)",5,0,6,1,0.77%
"org.argouml.cognitive.Designer.clearCritiquing()",5,3,15,11,1.92%
"org.argouml.cognitive.Designer.containsKnowledgeType(String)",3,0,6,3,0.77%
"org.argouml.cognitive.Designer.critique(Object)",5,6,9,3,1.15%
"org.argouml.cognitive.Designer.critiqueASAP(Object,String)",10,10,36,24,4.60%
"org.argouml.cognitive.Designer.determineActiveCritics()",3,3,6,3,0.77%
"org.argouml.cognitive.Designer.disableCritiquing()",3,3,8,5,1.02%
"org.argouml.cognitive.Designer.enableCritiquing()",3,3,8,5,1.02%
"org.argouml.cognitive.Designer.expand(String,ListSet)",5,0,8,3,1.02%
"org.argouml.cognitive.Designer.firePropertyChange(String,Object,Object)",2,5,17,12,2.17%
