Lines of code metrics,Sat, 4 Dec 2021 09:02:07 SGT
Method,CLOC,JLOC,LOC,NCLOC,RLOC
"org.tigris.gef.undo.UndoManager.isGenerateMementos()",4,5,8,3,3.31%
"org.tigris.gef.undo.UndoManager.isUndoInProgress()",0,0,3,3,1.24%
"org.tigris.gef.undo.UndoManager.pop(ArrayList)",0,0,3,3,1.24%
"org.tigris.gef.undo.UndoManager.redo()",3,3,14,11,5.79%
"org.tigris.gef.undo.UndoManager.redo(Memento)",4,5,9,4,3.72%
"org.tigris.gef.undo.UndoManager.removeMementoLock(Object)",0,0,3,3,1.24%
"org.tigris.gef.undo.UndoManager.setGenerateMementos(boolean)",2,4,6,2,2.48%
"org.tigris.gef.undo.UndoManager.setInstance(UndoManager)",0,0,4,4,1.65%
"org.tigris.gef.undo.UndoManager.setUndoMax(int)",0,0,3,3,1.24%
"org.tigris.gef.undo.UndoManager.startChain()",5,5,8,3,3.31%
"org.tigris.gef.undo.UndoManager.undo()",3,3,16,13,6.61%
"org.tigris.gef.undo.UndoManager.undo(Memento)",4,5,9,4,3.72%
"org.tigris.gef.undo.UndoableAction.UndoableAction()",2,3,6,3,19.35%
"org.tigris.gef.undo.UndoableAction.UndoableAction(String)",2,3,6,3,19.35%
"org.tigris.gef.undo.UndoableAction.UndoableAction(String,Icon)",2,4,7,3,22.58%
"org.tigris.gef.undo.UndoableAction.actionPerformed(ActionEvent)",4,4,7,3,22.58%
"org.tigris.gef.util.ChildGenerator.gen(Object)",1,n/a,n/a,1,25.00%
"org.tigris.gef.util.ColorFactory.ColorFactory()",3,3,5,2,3.05%
"org.tigris.gef.util.ColorFactory.cacheColor(Color)",4,5,8,3,4.88%
"org.tigris.gef.util.ColorFactory.cacheColor(Integer,Color)",4,6,10,4,6.10%
"org.tigris.gef.util.ColorFactory.cacheColor(String,Color)",4,6,9,3,5.49%
"org.tigris.gef.util.ColorFactory.cacheColor(String,Integer,Color)",4,7,12,5,7.32%
"org.tigris.gef.util.ColorFactory.colorToInteger(Color)",5,7,11,3,6.71%
"org.tigris.gef.util.ColorFactory.getColor(String)",8,9,31,19,18.90%
"org.tigris.gef.util.ColorFactory.getColor(String,Color)",5,12,19,7,11.59%
"org.tigris.gef.util.ColorFactory.getColorByRgb(Integer)",4,7,15,8,9.15%
"org.tigris.gef.util.ColorFactory.getColorByRgb(String)",4,8,20,12,12.20%
"org.tigris.gef.util.Converter.convert(Hashtable)",0,0,11,11,31.43%
"org.tigris.gef.util.Converter.convert(Vector)",0,0,9,9,25.71%
"org.tigris.gef.util.Converter.convertCollection(Collection)",0,0,10,10,28.57%
"org.tigris.gef.util.EnumerationComposite.EnumerationComposite()",2,0,4,2,5.56%
"org.tigris.gef.util.EnumerationComposite.EnumerationComposite(Enumeration)",0,0,3,3,4.17%
"org.tigris.gef.util.EnumerationComposite.EnumerationComposite(Enumeration,Enumeration)",0,0,4,4,5.56%
"org.tigris.gef.util.EnumerationComposite.EnumerationComposite(Enumeration,Enumeration,Enumeration)",0,0,5,5,6.94%
"org.tigris.gef.util.EnumerationComposite.addSub(Enumeration)",4,4,10,6,13.89%
"org.tigris.gef.util.EnumerationComposite.addSub(Vector)",4,4,8,4,11.11%
"org.tigris.gef.util.EnumerationComposite.findNext()",4,4,13,9,18.06%
"org.tigris.gef.util.EnumerationComposite.hasMoreElements()",1,1,4,3,5.56%
"org.tigris.gef.util.EnumerationComposite.nextElement()",1,1,9,8,12.50%
"org.tigris.gef.util.EnumerationEmpty.hasMoreElements()",0,0,3,3,9.68%
"org.tigris.gef.util.EnumerationEmpty.hasNext()",1,0,4,3,12.90%
"org.tigris.gef.util.EnumerationEmpty.next()",0,0,3,3,9.68%
"org.tigris.gef.util.EnumerationEmpty.nextElement()",0,0,3,3,9.68%
"org.tigris.gef.util.EnumerationEmpty.remove()",0,0,3,3,9.68%
"org.tigris.gef.util.EnumerationEmpty.theInstance()",0,0,3,3,9.68%
"org.tigris.gef.util.EnumerationPredicate.EnumerationPredicate(Enumeration,Predicate)",0,0,5,5,8.20%
"org.tigris.gef.util.EnumerationPredicate.findNext()",4,4,12,8,19.67%
"org.tigris.gef.util.EnumerationPredicate.hasMoreElements()",4,4,7,3,11.48%
"org.tigris.gef.util.EnumerationPredicate.nextElement()",4,4,11,7,18.03%
"org.tigris.gef.util.EnumerationSingle.EnumerationSingle(Object)",0,0,3,3,10.34%
"org.tigris.gef.util.EnumerationSingle.hasMoreElements()",0,0,3,3,10.34%
"org.tigris.gef.util.EnumerationSingle.nextElement()",0,0,8,8,27.59%
"org.tigris.gef.util.Functor.apply(Object)",0,n/a,n/a,1,10.00%
"org.tigris.gef.util.FunctorIdentity.apply(Object)",0,0,3,3,30.00%
"org.tigris.gef.util.Localizer.addLocale(Locale)",6,8,27,19,7.71%
"org.tigris.gef.util.Localizer.addResource(String,String)",5,9,13,4,3.71%
"org.tigris.gef.util.Localizer.addResource(String,String,ClassLoader)",0,0,10,10,2.86%
"org.tigris.gef.util.Localizer.addResource(String,String,Locale)",0,0,5,5,1.43%
"org.tigris.gef.util.Localizer.addResource(String,String,Locale,ClassLoader)",0,0,14,14,4.00%
"org.tigris.gef.util.Localizer.containsKey(String,String)",5,8,11,3,3.14%
"org.tigris.gef.util.Localizer.containsKey(String,String,Locale,Map)",0,0,16,16,4.57%
"org.tigris.gef.util.Localizer.containsLocale(Locale)",4,7,10,3,2.86%
"org.tigris.gef.util.Localizer.containsResource(String)",4,8,11,3,3.14%
"org.tigris.gef.util.Localizer.getCurrentLocale()",4,5,8,3,2.29%
"org.tigris.gef.util.Localizer.getKeys(String)",5,9,13,4,3.71%
"org.tigris.gef.util.Localizer.getResourcesFor(Locale)",4,7,12,5,3.43%
"org.tigris.gef.util.Localizer.getShortcut(String,String)",4,9,12,3,3.43%
"org.tigris.gef.util.Localizer.getShortcut(String,String,Locale,Map)",0,0,36,36,10.29%
"org.tigris.gef.util.Localizer.getkeys(String,Locale,Map)",0,0,16,16,4.57%
"org.tigris.gef.util.Localizer.localize(String,String)",5,12,15,3,4.29%
"org.tigris.gef.util.Localizer.localize(String,String,Locale,Map)",0,0,44,44,12.57%
"org.tigris.gef.util.Localizer.localize(String,String,Locale,Map,boolean)",0,0,8,8,2.29%
"org.tigris.gef.util.Localizer.localize(String,String,boolean)",0,0,3,3,0.86%
"org.tigris.gef.util.Localizer.removeLocale(Locale)",6,8,14,6,4.00%
"org.tigris.gef.util.Localizer.removeResource(String)",5,7,15,8,4.29%
"org.tigris.gef.util.Localizer.switchCurrentLocale(Locale)",6,7,15,8,4.29%
"org.tigris.gef.util.PredFigInRect.PredFigInRect(Rectangle)",0,0,3,3,13.64%
"org.tigris.gef.util.PredFigInRect.predicate(Object)",0,0,5,5,22.73%
"org.tigris.gef.util.PredFigNodeInRect.PredFigNodeInRect(Rectangle)",0,0,3,3,13.64%
"org.tigris.gef.util.PredFigNodeInRect.predicate(Object)",0,0,5,5,22.73%
"org.tigris.gef.util.Predicate.predicate(Object)",0,n/a,n/a,1,11.11%
"org.tigris.gef.util.PredicateEquals.PredicateEquals(Object)",0,0,3,3,27.27%
"org.tigris.gef.util.PredicateEquals.predicate(Object)",0,0,5,5,45.45%
"org.tigris.gef.util.PredicateStringMatch.PredicateStringMatch(String[],int)",2,0,6,4,9.09%
"org.tigris.gef.util.PredicateStringMatch.create(String)",1,0,20,19,30.30%
"org.tigris.gef.util.PredicateStringMatch.predicate(Object)",1,0,18,17,27.27%
"org.tigris.gef.util.PredicateTrue.PredicateTrue()",0,0,2,2,12.50%
"org.tigris.gef.util.PredicateTrue.predicate(Object)",0,0,3,3,18.75%
"org.tigris.gef.util.PredicateTrue.theInstance()",0,0,3,3,18.75%
"org.tigris.gef.util.PredicateType.PredicateType(Class[])",2,0,5,3,6.76%
"org.tigris.gef.util.PredicateType.PredicateType(Class[],int)",0,0,4,4,5.41%
"org.tigris.gef.util.PredicateType.create()",0,0,3,3,4.05%
"org.tigris.gef.util.PredicateType.create(Class)",0,0,5,5,6.76%
"org.tigris.gef.util.PredicateType.create(Class,Class)",0,0,6,6,8.11%
"org.tigris.gef.util.PredicateType.create(Class,Class,Class)",0,0,7,7,9.46%
"org.tigris.gef.util.PredicateType.isPredicateFor(Object)",0,0,7,7,9.46%
"org.tigris.gef.util.PredicateType.predicate(Object)",2,0,11,9,14.86%
"org.tigris.gef.util.PredicateType.toString()",0,0,17,17,22.97%
"org.tigris.gef.util.ResourceLoader.addResourceExtension(String)",4,6,10,4,7.19%
"org.tigris.gef.util.ResourceLoader.addResourceLocation(String)",4,6,10,4,7.19%
"org.tigris.gef.util.ResourceLoader.containsExtension(String)",0,0,3,3,2.16%
"org.tigris.gef.util.ResourceLoader.containsLocation(String)",0,0,3,3,2.16%
"org.tigris.gef.util.ResourceLoader.isInCache(String)",0,0,3,3,2.16%
"org.tigris.gef.util.ResourceLoader.lookupIconResource(String)",0,0,3,3,2.16%
"org.tigris.gef.util.ResourceLoader.lookupIconResource(String,ClassLoader)",0,0,4,4,2.88%
"org.tigris.gef.util.ResourceLoader.lookupIconResource(String,String)",0,0,3,3,2.16%
"org.tigris.gef.util.ResourceLoader.lookupIconResource(String,String,ClassLoader)",8,14,59,43,42.45%
"org.tigris.gef.util.ResourceLoader.removeResourceExtension(String)",4,6,15,9,10.79%
"org.tigris.gef.util.ResourceLoader.removeResourceLocation(String)",4,6,15,9,10.79%
"org.tigris.gef.util.UnexpectedException.UnexpectedException(String,Throwable)",2,0,6,4,26.09%
"org.tigris.gef.util.UnexpectedException.UnexpectedException(Throwable)",0,0,4,4,17.39%
"org.tigris.gef.util.UnexpectedException.getNestedException()",2,0,5,3,21.74%
"org.tigris.gef.util.Util.URIToFilename(String)",6,8,21,11,16.94%
"org.tigris.gef.util.Util.URLToFile(URL)",0,0,5,5,4.03%
"org.tigris.gef.util.Util.URLToShortName(URL)",0,0,4,4,3.23%
"org.tigris.gef.util.Util.Util()",4,4,6,2,4.84%
"org.tigris.gef.util.Util.exchangeURLExtension(URL,String,String)",8,0,23,15,18.55%
"org.tigris.gef.util.Util.fileToURL(File)",0,0,4,4,3.23%
"org.tigris.gef.util.Util.filenameToURI(String)",6,8,21,11,16.94%
"org.tigris.gef.util.Util.fixURLExtension(URL,String)",0,0,10,10,8.06%
"org.tigris.gef.util.Util.stripJunk(String)",6,0,25,19,20.16%
"org.tigris.gef.util.VetoableChangeEventSource.addVetoableChangeListener(VetoableChangeListener)",0,n/a,n/a,1,20.00%
"org.tigris.gef.util.VetoableChangeEventSource.getVetoableChangeListeners()",0,n/a,n/a,1,20.00%
"org.tigris.gef.util.VetoableChangeEventSource.removeVetoableChangeListener(VetoableChangeListener)",0,n/a,n/a,1,20.00%
"org.tigris.gef.xml.svg.SVGParser.SVGParser()",0,0,2,2,0.25%
"org.tigris.gef.xml.svg.SVGParser.characters(char[],int,int)",0,0,9,9,1.15%
"org.tigris.gef.xml.svg.SVGParser.colorByName(String,Color)",0,0,34,34,4.33%
"org.tigris.gef.xml.svg.SVGParser.edgeStateStartElement(String,Attributes)",0,0,20,20,2.54%
"org.tigris.gef.xml.svg.SVGParser.endElement(String)",5,0,70,65,8.91%
"org.tigris.gef.xml.svg.SVGParser.findFig(String)",0,0,21,21,2.67%
"org.tigris.gef.xml.svg.SVGParser.findOwner(String)",1,0,5,4,0.64%
"org.tigris.gef.xml.svg.SVGParser.getEntityPaths()",0,0,3,3,0.38%
"org.tigris.gef.xml.svg.SVGParser.getGraphModelFor(String)",1,0,5,4,0.64%
"org.tigris.gef.xml.svg.SVGParser.handleEllipse(Attributes)",0,0,14,14,1.78%
"org.tigris.gef.xml.svg.SVGParser.handleGroup(Attributes)",3,0,45,42,5.73%
"org.tigris.gef.xml.svg.SVGParser.handleLine(Attributes)",0,0,8,8,1.02%
"org.tigris.gef.xml.svg.SVGParser.handlePath(Attributes)",3,0,45,42,5.73%
"org.tigris.gef.xml.svg.SVGParser.handlePolyLine(Attributes)",0,0,8,8,1.02%
"org.tigris.gef.xml.svg.SVGParser.handleRect(Attributes)",0,0,13,13,1.65%
"org.tigris.gef.xml.svg.SVGParser.handleSVG(Attributes)",0,0,12,12,1.53%
"org.tigris.gef.xml.svg.SVGParser.handleText(Attributes)",0,0,20,20,2.54%
"org.tigris.gef.xml.svg.SVGParser.initDiagram(String)",0,0,19,19,2.42%
"org.tigris.gef.xml.svg.SVGParser.lineStateStartElement(String,Attributes)",0,0,26,26,3.31%
"org.tigris.gef.xml.svg.SVGParser.nodeStateStartElement(String,Attributes)",0,0,12,12,1.53%
"org.tigris.gef.xml.svg.SVGParser.parseColor(String,Color)",2,0,63,61,8.02%
"org.tigris.gef.xml.svg.SVGParser.parseStyle(String,String)",4,9,23,14,2.93%
"org.tigris.gef.xml.svg.SVGParser.polyStateStartElement(String,Attributes)",4,0,27,23,3.44%
"org.tigris.gef.xml.svg.SVGParser.privateStateEndElement(String)",0,0,51,51,6.49%
"org.tigris.gef.xml.svg.SVGParser.readDiagram(URL)",0,0,24,24,3.05%
"org.tigris.gef.xml.svg.SVGParser.resolveEntity(String,String)",4,0,48,45,6.11%
"org.tigris.gef.xml.svg.SVGParser.setAttrs(Fig,Attributes)",6,0,50,44,6.36%
"org.tigris.gef.xml.svg.SVGParser.setOwnerAttr(Fig,Attributes)",0,0,9,9,1.15%
"org.tigris.gef.xml.svg.SVGParser.setOwnerRegistry(Map)",0,0,3,3,0.38%
"org.tigris.gef.xml.svg.SVGParser.startElement(String,Attributes)",9,0,47,40,5.98%
"org.tigris.gef.xml.svg.SVGParser.translateClassName(String)",0,0,3,3,0.38%
"org.tigris.swidgets.AbstractButtonAction.AbstractButtonAction(String,Icon)",4,6,9,3,11.11%
"org.tigris.swidgets.AbstractButtonAction.AbstractButtonAction(String,Icon,boolean)",4,8,12,4,14.81%
"org.tigris.swidgets.AbstractButtonAction.AbstractButtonAction(String,Icon,boolean,int)",4,10,16,6,19.75%
"org.tigris.swidgets.AbstractButtonAction.getLockMethod()",2,3,6,3,7.41%
"org.tigris.swidgets.AbstractButtonAction.isModal()",2,3,6,3,7.41%
"org.tigris.swidgets.AbstractButtonAction.setLockMethod(int)",2,3,6,3,7.41%
"org.tigris.swidgets.AbstractButtonAction.setModal(boolean)",2,3,6,3,7.41%
"org.tigris.swidgets.ActionUtilities.getActionRoot(ActionEvent)",14,15,18,3,24.00%
"org.tigris.swidgets.ActionUtilities.getActionRoot(Object)",13,14,31,17,41.33%
"org.tigris.swidgets.ActionUtilities.getContainer(Component)",7,4,18,14,24.00%
"org.tigris.swidgets.ArrowButton.ArrowButton(int)",3,5,16,11,42.11%
"org.tigris.swidgets.ArrowButton.ArrowButton(int,Border)",3,5,9,4,23.68%
"org.tigris.swidgets.ArrowButton.getPreferredSize()",0,0,4,4,10.53%
"org.tigris.swidgets.ArrowIcon.ArrowIcon(int)",3,5,8,3,6.67%
"org.tigris.swidgets.ArrowIcon.getIconHeight()",3,4,7,3,5.83%
"org.tigris.swidgets.ArrowIcon.getIconWidth()",3,4,7,3,5.83%
"org.tigris.swidgets.ArrowIcon.paintIcon(Component,Graphics,int,int)",10,11,56,41,46.67%
"org.tigris.swidgets.ArrowIcon.setIconHeight(int)",2,3,6,3,5.00%
"org.tigris.swidgets.ArrowIcon.setIconWidth(int)",2,3,6,3,5.00%
"org.tigris.swidgets.BorderSplitPane.BorderSplitPane()",2,2,12,10,6.67%
"org.tigris.swidgets.BorderSplitPane.add(Component)",4,6,10,4,5.56%
"org.tigris.swidgets.BorderSplitPane.add(Component,Object)",6,8,76,68,42.22%
"org.tigris.swidgets.BorderSplitPane.add(Component,Object,int)",5,8,11,3,6.11%
"org.tigris.swidgets.BorderSplitPane.add(Component,int)",5,8,11,3,6.11%
"org.tigris.swidgets.BorderSplitPane.remove(Component)",0,0,5,5,2.78%
"org.tigris.swidgets.ButtonAction.getLockMethod()",2,n/a,n/a,1,17.39%
"org.tigris.swidgets.ButtonAction.isModal()",2,n/a,n/a,1,17.39%
"org.tigris.swidgets.ButtonAction.setLockMethod(int)",2,n/a,n/a,1,21.74%
"org.tigris.swidgets.ButtonAction.setModal(boolean)",2,n/a,n/a,1,17.39%
"org.tigris.swidgets.DecoratedIcon.DecoratedIcon(ImageIcon)",3,4,7,3,9.21%
"org.tigris.swidgets.DecoratedIcon.init(int[][])",3,4,17,13,22.37%
"org.tigris.swidgets.DecoratedIcon.paintIcon(Component,Graphics,int,int)",7,11,29,17,38.16%
"org.tigris.swidgets.Dialog.Dialog(Frame,String,boolean)",6,9,12,3,4.24%
"org.tigris.swidgets.Dialog.Dialog(Frame,String,int,boolean)",7,12,37,25,13.07%
"org.tigris.swidgets.Dialog.actionPerformed(ActionEvent)",5,6,16,10,5.65%
"org.tigris.swidgets.Dialog.addButton(JButton)",5,6,9,3,3.18%
"org.tigris.swidgets.Dialog.addButton(JButton,int)",5,7,10,3,3.53%
"org.tigris.swidgets.Dialog.centerOnParent()",3,3,12,9,4.24%
"org.tigris.swidgets.Dialog.createButtons()",3,3,63,60,22.26%
"org.tigris.swidgets.Dialog.getCancelButton()",2,3,6,3,2.12%
"org.tigris.swidgets.Dialog.getCloseButton()",2,3,6,3,2.12%
"org.tigris.swidgets.Dialog.getComponentGap()",2,3,6,3,2.12%
"org.tigris.swidgets.Dialog.getContent()",4,5,8,3,2.83%
"org.tigris.swidgets.Dialog.getHelpButton()",2,3,6,3,2.12%
"org.tigris.swidgets.Dialog.getLabelGap()",2,3,6,3,2.12%
"org.tigris.swidgets.Dialog.getNoButton()",2,3,6,3,2.12%
"org.tigris.swidgets.Dialog.getOkButton()",2,3,6,3,2.12%
"org.tigris.swidgets.Dialog.getYesButton()",2,3,6,3,2.12%
"org.tigris.swidgets.Dialog.nameButtons()",4,n/a,n/a,1,1.77%
"org.tigris.swidgets.Dialog.setContent(JComponent)",7,8,17,9,6.01%
"org.tigris.swidgets.DimensionUtilities.add(Dimension,Dimension)",6,10,14,4,38.89%
"org.tigris.swidgets.DimensionUtilities.add(Dimension,Insets)",6,10,14,4,38.89%
"org.tigris.swidgets.DimensionUtility.add(Dimension,Dimension)",5,9,13,4,38.24%
"org.tigris.swidgets.DimensionUtility.add(Dimension,Insets)",5,9,13,4,38.24%
"org.tigris.swidgets.DockLayout.DockLayout()",3,3,5,2,4.42%
"org.tigris.swidgets.DockLayout.addLayoutComponent(Component,Object)",2,4,16,12,14.16%
"org.tigris.swidgets.DockLayout.getPreferredDimension(ArrayList)",2,0,12,10,10.62%
"org.tigris.swidgets.DockLayout.layoutContainer(Container)",2,3,30,27,26.55%
"org.tigris.swidgets.DockLayout.placeComponents(ArrayList,int,int,int,int,int)",0,0,24,24,21.24%
"org.tigris.swidgets.DockLayout.removeLayoutComponent(Component)",2,3,12,9,10.62%
"org.tigris.swidgets.DropDownIcon.DropDownIcon(ImageIcon)",1,1,5,4,17.24%
"org.tigris.swidgets.FlexiGridLayout.FlexiGridLayout()",4,4,7,3,1.07%
"org.tigris.swidgets.FlexiGridLayout.FlexiGridLayout(int,int)",5,7,10,3,1.53%
"org.tigris.swidgets.FlexiGridLayout.FlexiGridLayout(int,int,int)",5,8,11,3,1.68%
"org.tigris.swidgets.FlexiGridLayout.FlexiGridLayout(int,int,int,int)",5,9,19,10,2.91%
"org.tigris.swidgets.FlexiGridLayout.FlexiGridLayout(int,int,int,int,int)",5,10,14,4,2.14%
"org.tigris.swidgets.FlexiGridLayout.FlexiGridLayout(int,int,int,int,int,int)",6,12,18,6,2.76%
"org.tigris.swidgets.FlexiGridLayout.FlexiGridLayout(int,int,int,int,int,int,int)",6,13,18,5,2.76%
"org.tigris.swidgets.FlexiGridLayout.addLayoutComponent(String,Component)",6,8,10,2,1.53%
"org.tigris.swidgets.FlexiGridLayout.calculateSizes(Container,int[],int[],int,int,int,int)",0,0,21,21,3.22%
"org.tigris.swidgets.FlexiGridLayout.getCellSizing()",2,3,6,3,0.92%
"org.tigris.swidgets.FlexiGridLayout.getColWidth()",2,3,6,3,0.92%
"org.tigris.swidgets.FlexiGridLayout.getColumns()",0,0,3,3,0.46%
"org.tigris.swidgets.FlexiGridLayout.getComponentCellHeight(int)",0,0,4,4,0.61%
"org.tigris.swidgets.FlexiGridLayout.getComponentCellWidth(int)",0,0,4,4,0.61%
"org.tigris.swidgets.FlexiGridLayout.getHgap()",0,0,3,3,0.46%
"org.tigris.swidgets.FlexiGridLayout.getLargestHeight()",2,3,6,3,0.92%
"org.tigris.swidgets.FlexiGridLayout.getLargestWidth()",2,3,6,3,0.92%
"org.tigris.swidgets.FlexiGridLayout.getRowHeight()",2,3,6,3,0.92%
"org.tigris.swidgets.FlexiGridLayout.getRows()",0,0,3,3,0.46%
"org.tigris.swidgets.FlexiGridLayout.getVgap()",0,0,3,3,0.46%
"org.tigris.swidgets.FlexiGridLayout.layoutContainer(Container)",2,3,83,80,12.71%
"org.tigris.swidgets.FlexiGridLayout.minimumLayoutSize(Container)",4,5,50,45,7.66%
"org.tigris.swidgets.FlexiGridLayout.positionComponentInCell(Component,int,int,int,int)",0,0,45,45,6.89%
"org.tigris.swidgets.FlexiGridLayout.preferredLayoutSize(Container)",31,34,82,48,12.56%
"org.tigris.swidgets.FlexiGridLayout.removeLayoutComponent(Component)",7,8,10,2,1.53%
"org.tigris.swidgets.FlexiGridLayout.setColWidth(int[])",2,3,6,3,0.92%
"org.tigris.swidgets.FlexiGridLayout.setCols(int)",0,0,7,7,1.07%
"org.tigris.swidgets.FlexiGridLayout.setHgap(int)",0,0,3,3,0.46%
"org.tigris.swidgets.FlexiGridLayout.setLargestHeight(int)",2,3,6,3,0.92%
"org.tigris.swidgets.FlexiGridLayout.setLargestWidth(int)",2,3,6,3,0.92%
"org.tigris.swidgets.FlexiGridLayout.setRowHeight(int[])",2,3,6,3,0.92%
"org.tigris.swidgets.FlexiGridLayout.setRows(int)",0,0,7,7,1.07%
"org.tigris.swidgets.FlexiGridLayout.setVgap(int)",0,0,3,3,0.46%
"org.tigris.swidgets.GridLayout2.GridLayout2()",4,4,7,3,0.99%
"org.tigris.swidgets.GridLayout2.GridLayout2(int,int)",5,7,10,3,1.41%
"org.tigris.swidgets.GridLayout2.GridLayout2(int,int,int)",5,8,11,3,1.55%
"org.tigris.swidgets.GridLayout2.GridLayout2(int,int,int,int)",5,9,19,10,2.68%
"org.tigris.swidgets.GridLayout2.GridLayout2(int,int,int,int,int)",5,10,14,4,1.98%
"org.tigris.swidgets.GridLayout2.GridLayout2(int,int,int,int,int,int)",6,12,18,6,2.54%
"org.tigris.swidgets.GridLayout2.GridLayout2(int,int,int,int,int,int,int)",6,13,18,5,2.54%
"org.tigris.swidgets.GridLayout2.addLayoutComponent(String,Component)",6,8,10,2,1.41%
"org.tigris.swidgets.GridLayout2.calculateSizes(Container,int[],int[],int,int,int,int)",4,18,40,22,5.65%
"org.tigris.swidgets.GridLayout2.getCellSizing()",2,3,6,3,0.85%
"org.tigris.swidgets.GridLayout2.getColWidth()",2,3,6,3,0.85%
"org.tigris.swidgets.GridLayout2.getColumns()",2,3,6,3,0.85%
"org.tigris.swidgets.GridLayout2.getComponentCellHeight(int)",4,6,10,4,1.41%
"org.tigris.swidgets.GridLayout2.getComponentCellWidth(int)",4,6,10,4,1.41%
"org.tigris.swidgets.GridLayout2.getHgap()",2,3,6,3,0.85%
"org.tigris.swidgets.GridLayout2.getLargestHeight()",2,3,6,3,0.85%
"org.tigris.swidgets.GridLayout2.getLargestWidth()",2,3,6,3,0.85%
"org.tigris.swidgets.GridLayout2.getRowHeight()",2,3,6,3,0.85%
"org.tigris.swidgets.GridLayout2.getRows()",2,3,6,3,0.85%
"org.tigris.swidgets.GridLayout2.getVgap()",2,3,6,3,0.85%
"org.tigris.swidgets.GridLayout2.layoutContainer(Container)",2,3,81,78,11.44%
"org.tigris.swidgets.GridLayout2.minimumLayoutSize(Container)",4,5,48,43,6.78%
"org.tigris.swidgets.GridLayout2.positionComponentInCell(Component,int,int,int,int)",2,7,52,45,7.34%
"org.tigris.swidgets.GridLayout2.preferredLayoutSize(Container)",31,34,79,45,11.16%
"org.tigris.swidgets.GridLayout2.removeLayoutComponent(Component)",7,8,10,2,1.41%
"org.tigris.swidgets.GridLayout2.setColWidth(int[])",2,3,6,3,0.85%
"org.tigris.swidgets.GridLayout2.setCols(int)",2,3,10,7,1.41%
"org.tigris.swidgets.GridLayout2.setHgap(int)",2,3,6,3,0.85%
"org.tigris.swidgets.GridLayout2.setLargestHeight(int)",2,3,6,3,0.85%
"org.tigris.swidgets.GridLayout2.setLargestWidth(int)",2,3,6,3,0.85%
"org.tigris.swidgets.GridLayout2.setRowHeight(int[])",2,3,6,3,0.85%
"org.tigris.swidgets.GridLayout2.setRows(int)",2,3,10,7,1.41%
"org.tigris.swidgets.GridLayout2.setVgap(int)",2,3,6,3,0.85%
"org.tigris.swidgets.Horizontal.Horizontal()",0,0,2,2,0.47%
"org.tigris.swidgets.Horizontal.addLength(Dimension,Component)",6,10,13,3,3.02%
"org.tigris.swidgets.Horizontal.addLength(Dimension,Dimension)",6,10,13,3,3.02%
"org.tigris.swidgets.Horizontal.addLength(Dimension,int)",6,9,14,5,3.26%
"org.tigris.swidgets.Horizontal.addToPosition(Point,Component)",6,10,13,3,3.02%
"org.tigris.swidgets.Horizontal.addToPosition(Point,Dimension)",6,10,13,3,3.02%
"org.tigris.swidgets.Horizontal.addToPosition(Point,int)",6,9,14,5,3.26%
"org.tigris.swidgets.Horizontal.getBreadth(Component)",4,7,10,3,2.33%
"org.tigris.swidgets.Horizontal.getBreadth(Dimension)",4,7,10,3,2.33%
"org.tigris.swidgets.Horizontal.getCursor()",4,5,8,3,1.86%
"org.tigris.swidgets.Horizontal.getEndArrowButton()",4,5,8,3,1.86%
"org.tigris.swidgets.Horizontal.getFirstUsableOffset(Container)",6,9,12,3,2.79%
"org.tigris.swidgets.Horizontal.getInstance()",4,7,10,3,2.33%
"org.tigris.swidgets.Horizontal.getLastUsablePosition(Container)",6,9,12,3,2.79%
"org.tigris.swidgets.Horizontal.getLength(Component)",4,7,10,3,2.33%
"org.tigris.swidgets.Horizontal.getLength(Dimension)",4,7,10,3,2.33%
"org.tigris.swidgets.Horizontal.getLengthMinusInsets(Container)",5,8,12,4,2.79%
"org.tigris.swidgets.Horizontal.getOffset(Point)",4,7,10,3,2.33%
"org.tigris.swidgets.Horizontal.getPerpendicular()",11,12,15,3,3.49%
"org.tigris.swidgets.Horizontal.getPosition(Component)",4,7,10,3,2.33%
"org.tigris.swidgets.Horizontal.getPosition(MouseEvent)",4,7,10,3,2.33%
"org.tigris.swidgets.Horizontal.getPosition(Point)",4,7,10,3,2.33%
"org.tigris.swidgets.Horizontal.getStartArrowButton()",4,5,8,3,1.86%
"org.tigris.swidgets.Horizontal.newPoint(int,int)",4,7,10,3,2.33%
"org.tigris.swidgets.Horizontal.setBreadth(Dimension,Dimension)",6,10,14,4,3.26%
"org.tigris.swidgets.Horizontal.setBreadth(Dimension,int)",6,10,13,3,3.02%
"org.tigris.swidgets.Horizontal.setLength(Dimension,Dimension)",6,10,14,4,3.26%
"org.tigris.swidgets.Horizontal.setLength(Dimension,int)",6,10,13,3,3.02%
"org.tigris.swidgets.Horizontal.setPosition(Point,int)",5,9,12,3,2.79%
"org.tigris.swidgets.Horizontal.subtractFromPosition(Point,Component)",6,10,13,3,3.02%
"org.tigris.swidgets.Horizontal.subtractFromPosition(Point,Dimension)",6,10,13,3,3.02%
"org.tigris.swidgets.Horizontal.subtractFromPosition(Point,int)",6,9,12,3,2.79%
"org.tigris.swidgets.Horizontal.subtractLength(Dimension,Component)",6,10,13,3,3.02%
"org.tigris.swidgets.Horizontal.subtractLength(Dimension,Dimension)",6,10,13,3,3.02%
